id,text,label,sentiment
9717,why won't my homescreen widget display all day events? this makes it really difficult to use,1,neutral
6059,"The app is great, and I´ve started to use it rather than wunderlist. Just 3 stars because I don´t think the My Day section makes sense. Tasks flagged as to be done today, in others lists, should appear in My Day, as those are the tasks for Today, seems My Day only considers tasks added specifically to that list, and that makes it confusing and redundant, as in Planned, the right logic is applied, where you see planned tasks for today and ahead. Shouldn´t the same logic apply to the My Day window? Or I am doing something wrong?",1,neutral
6857,"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",0,negative
27245,"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry...",2,positive
24383, I like all the songs  I can`t say just one guys! love ya,2,positive
12010, Thanks for the link Geoff,2,positive
9853,"Nice planner but you shouldn't have to pay to have ""week""view. I may not purchase now.",1,neutral
7479,It's really confusing! Its hadd to make routines and stuff. Just over all really confusing. But over great way to track routines. I love the tag idea. Mabey you should add a default school tag?,1,neutral
9397,has just bought attics to eden by madina lake  it`s totally AMAZING,2,positive
1561, ack! I just read about your show  that`s horrible!!! No accounting for taste.,0,negative
6456," I know! I can barely believe it`s almost over! Thanks for the review, lovely!",2,positive
1851, I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson`s Creek doesn`t,1,neutral
13643,_nicole http://twitpic.com/4t6qx - i have the exact same pic except it`s my hubby & my chihuahua tucker   very cute.,2,positive
9937, you need to share the h/w love! Some of us are still rocking 2008`s gear.,2,positive
1865,_n Where can I get some?,1,neutral
8826,I used this calander app for years and found it to be excellent. But recently it started playing full page video ads making accessing information on the fly unreliable. I'm sure the paid version is still great but I cant recommend using this as a free calander app anymore.,0,negative
7480,The layout for the app is awesome. But it would be better if non-routine task can be added into the timeline with the same activity for routine task.,1,neutral
3997,Watching twilight and eating potato salad.,1,neutral
3397,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,0,negative
6410,My car is in the car hospital for the nxt 7 days  I gotta go pick up a loaner car b4 6! Bein without wheels 4 7day will set me back heavy!,1,neutral
14061," lol what bothers me is that i`m messing with my metabolism   drinking lots of water pretending its different food, Mmmm grapes!",0,negative
9867,Only 24hr option? no 12. Would be cool if you could color code the circles in the calendar date to that calendar that has an event for that day.,1,neutral
989,Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen,2,positive
4557,"Full package for IDR 139000, got a 33% discount but still IDR 139000",1,neutral
3694,Following _aisa These guys could be shifty but worth following regardless.,2,positive
2002,"This task app is the only decent option I've found for combining tasks and calendar events into one scrollable widget. Tasks can be set to repeat from the date completed, which is essential for things like haircuts and cleaning schedules. Unfortunately, neither the app nor the widget (which is especially important) has many customization options. One option I would like, in particular, is the ability to hide the widget's title bar. Obviously color and display options would be nice, too.",1,neutral
2393,_J think so.. although think i am being ignored! not a good day,0,negative
1991,"mmm, pizza for dinner. yum. but i burnt my mouth though ..",2,positive
21239,...definitely the first time I`ve felt alive again in years. Super happy,2,positive
26076,Twitter stop being a **** and let me change my background image!  (imagine a shiny NHL ring in the background),0,negative
21758,I`m so proud of Dr. House for detoxing.  His Amber hallucination is evil!!,2,positive
8028,The best yet!,2,positive
17160,Enjoyed last night at what I call 'real world social networking' -  LOK event in Vancouver.  It was great!.  But headeache today,1,neutral
26037,looking forward to Ben`s baseball game tonight,1,neutral
2405,"I have used Wunderlist for about 5 years, but now its being retired. I tested and tried 10+ apps since then, and none were that great. I stumbled upon TickTick, and wish I had started using it years ago. TickTick has much greater customization options, and does a great job of incentivizing completion of tasks via feedback. It has made my life much easier. I do wish the widget had options to change how it appears, the ""to dos"" do not have breaks between them.",2,positive
25388, my friday feels boring too. no time for fun today and not so much in the mood for it either,0,negative
22186, no labels?  Sorry I know I`m really needy.,0,negative
9711,It's actually good but it doesn't have a feature where your task appears on your lockscreen that will remind you everytime you forgot something to do.,1,neutral
894," thats what doting husbands are for LOL!!  I hope that once my braces go on, I can eat normally again",2,positive
1165,Tedious and annoying to use. Went back to using Google Keep.,0,negative
2903, the no tweeting guilt trip didn`t stop you huh?  I felt so bad!,0,negative
8310,  i would love to come visit you in Korea.. next flight that is under 100 i am there!,2,positive
10452," that`s cool. Well if you need any more help regarding that, Google is your friend. Plenty of info on that!",2,positive
11986,big shout out to all my home girls you know who you are,1,neutral
24713,_agwl Talking to whom? This `Shah Rukh Khan` is an imposter here... LOL! BTW thanx for the follow...,1,neutral
10132,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",2,positive
2492,"Hernia is hurting way more than usual tonight, no way I`m able to go out!",0,negative
1087,Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,1,neutral
21002,Heading to the U of Utah hospital. Have a great day everyone,2,positive
1370, it`s like the library equivalent of 'it`s 5 o`clock somewhere.' someone else in on the ref desk somewhere,1,neutral
830,"It really helped dude, I have online school and since there is no teacher to scream at me I delay my work but never seem to do it. But thanks to this app I'm planning everything and I'm slowly getting back in track. Recommend to all students out there",2,positive
398, i know i suck.  my data plan is weak sauce.,0,negative
24171," Ouch! Sunburn`s bad! Hope it`s not to sore on your bedding, that`s always the problem.",0,negative
4303,The motivational messages are annoying. You can only track up to 5 habits in the free version but it is totally not worth paying for more. Good riddance. I suppo this kind of app is just not for me.,0,negative
8045," MANDY!!!  IT WON`T LET ME VOTE  I WANT HER TO WIN BUT I CAN`T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",1,neutral
1215,the fact my room is so hot is making me feel sick,0,negative
5825, That`s just how babies are  Their little rhythms are still in sinc with when they were inutero.,1,neutral
346,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,2,positive
6516,I just bought pro on my tablet 15 minutes ago and then installed Sectograph on my phone and it says I have to buy pro again. What the heck happened with syncing google accounts,0,negative
9396,Has got to look for a job this weekend,1,neutral
2199,"Pros: this app is very similar to the functionality of Wunderlist and adds features I wanted. Free version is fully functional except for the limitation of 9 lists Cons: Some of the widget buttons are small and I am not a fan of subscription services for premium features (I would pay a one-time fee, even for each upgrade, but i absolutely won't subscribe)",2,positive
24777,My cucumber has gone limp,0,negative
3611,"I like the concept... But it don't work. :( I am able to go on Facebook even if the tree is growing! Even now, I have a tree growing as I type. I really like the idea... but it don't work (on my phone).",1,neutral
3788,can you add more than 2 hours?,1,neutral
12782, Had one of the female servers tell her **** looks big in those pants. She will worry all night long Lol,0,negative
2331,My fingers hurt,0,negative
3612,I enrolled myself in beta version and gained almost 1000 coins. But after sometime the app stopped working properly! The start button won't work or the estimated time was almost 3 times. The I left the beta version and reinstalled the application. It's working fine now but I lost all the coin count and now I am back to square one! I was so upset! I love this application though! But please fix these bugs guys!,1,neutral
8026,love it. Cant wait for it to do even more.,2,positive
16812,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",1,neutral
1231,On my way to dazzle bar!!,1,neutral
24049,Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!,2,positive
4937,sun - where are you?,1,neutral
9542,App has stopped opening,0,negative
22133,_O Awesome! My family owns it...The Flowers.. and we love having your kids there! They seem to have lots of fun!!,2,positive
22790," oh, sorry to hear about this too  sad",0,negative
5810, lol wat u making me come all da way overr there for?v,1,neutral
21081,@ kbal24 I am sorry that you are feeling that way.,0,negative
4835,I love this app! Very easy to use and it phelps me to keep track of my progress. A+,2,positive
22920, Dude you are awesome,2,positive
15949," Thanks, I found the link http://bit.ly/uxOFO  , however I think you need to be a customer to download it",2,positive
2887,"Cool concept, but I don't have the attention span for it.",1,neutral
18893,_kelly Bummed about the maxi dresses!  I think they`re so cute for summer but I`m only 5`4'!,2,positive
20797,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.,1,neutral
6881,Why isn't this also an Android wear watchface?,1,neutral
8112,"💩👎💩👎💩👎💩 👻☠️ IMPOSSIBLE TO DELETE LIST, OR SUB LISTS (TABS)!!! ☠️👻 REGRET v2.0 UPGRADE!! 👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎",0,negative
10962, I`ve missed one this year(!). It`s the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,0,negative
1513,Desktop version is better,2,positive
21030," Nothing, stayed home",1,neutral
3808,Laying on my bed. ONE spot smells like vanilla.  awesome,2,positive
673, lol that was a great movie,2,positive
2135,Work on notifications... Its the best though am happy,1,neutral
9754,"No matter what I do, even setting 'no notifications' when creating event or task; they  continually pop up. Not happy with this feature.",1,neutral
21701,_Bayliss Naww... when should we go on mega scotter?,1,neutral
8060,"at the beginning was good but i wait two months later and the app keep putting back as not done reminders that i mark as done already and the other task that have date and mark as priority don't even showed me, if you can fix that ill stay with the app otherwise i will keep looking... sadly the only remid app that work good was the apple one but i don't have iphone anymore so? came on please make this one work",0,negative
422,"App looks great. UI is wonderful and the feature it have , they all are useful. Only problem because of which I uninstalled the app was simple and basic features like recurring task creations are made premium. Switching to tick tick for the same reason.",1,neutral
4095,Es muy útil para mantener las aplicaciones del celular cerradas mientras trabajas.,2,positive
4808,Great app for tracking habits with tons of options! Only thing I can't seem to do is set a habit with a start date in the future. Is there a way to do this that I am missing? I'm a planner and like to set things up ahead of time. Otherwise it's fabulous!,2,positive
2766,   I love you,2,positive
2278, I KNOW! I love Nicholas Braun & I think he`ll make an okay Cameron but I don`t wanna see it either,2,positive
3633,"Its a cool app but im afraid it doesnt all too well on my huawei p9 leica, it doesnt kill the plant when I switch apps, rendering the whole experience pointless, I followed all the setup instructions and forums but it still didnt work : (",1,neutral
12594, good luck!!  OH and I are playing inthe mixed knockout this week. Playing the pros 14yr old son playing off 5 & top woman off 6,2,positive
19634," Good lord, man.   I recommend the Dark & Stormy at Casablanca.",2,positive
4106," not so awesome now, huh? LOL",1,neutral
10904,Now i`m fully awake,1,neutral
20996,"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D",2,positive
9389,"Really nice overview, like the colors and how adjustable it is. Won't consider any other calendar app",2,positive
19527,Oh. Now it doesn`t need updating all of a sudden. Ok. Will get dressed anyway,1,neutral
720,All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,0,negative
10214, nooooooooooooooo! well the 4G will prob be out in June but that doesn`t help u now,0,negative
8459,"Will there ever be an update with an easier way to sync with other devices? I have spent so much time trying out todo apps with reminders and this is probably the best one ever, but I would really want to be able to manage it all across more than one device, such as with an autimatic periodic upload or one-touch sync button like in colornote. Thanks",2,positive
1060,"Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjdjc",1,neutral
5124,  OOh but you soon get to meet the dung mice!!,1,neutral
8626,"Its perfect,I really recommend downloading it,it has the priority of your works,calendar,etc...thank you so much!it is so useful",2,positive
10534,yankees won mets lost. its a good day.,2,positive
6607,: Well that is just completely lame. I`m sorry dude.,0,negative
133, why are you sad?,0,negative
26194,Sometimes knowledge is not a good thing.    http://digg.com/d1sPp7,0,negative
24441," - We drank ours away, May Day Bank Holiday today",1,neutral
9559,wants to go home.,1,neutral
17053, keep dreamin`!!!! Though.... if she does.... hook me up  LOL,1,neutral
23830,i looked all cute too!,2,positive
1489,Really helped me to level up my organizing and productivity! I wouldn't need all the premium features really tho.,2,positive
19398,"Haha! just overheard on the us. 3 yrold to mom 'mom, I think I should learn to read today'",1,neutral
25807, morning David have a safe journey and enjoy your time in the states  ****,2,positive
21723,i got peanut butter in my beard  it felt weird after... and axe body wash burnt my eyes... but now they`re okay.,0,negative
10062,Two day hangover,1,neutral
8967,"Works great, but when I start creating events and switch to a different app and go back to Business Calendar, they disappear. Also, very limited, unsearchable collection of emojis. No statistics on events, too. Would also love to see goal tracking. Needs prioritizements of tasks. Also, no option to find a time for an event.",1,neutral
16869,"he switches off his cellphone!! huaaaaa, i cant sleep  buzz me bebe..",0,negative
14469,"I`ve got sunburnt knees... it`s funny now, but I bet they`ll sting later   Had a fab day though  x",1,neutral
20258,_Sweethearts Im following you but you aren`t on my DM list  Can you try to DM me?,1,neutral
22904,Long to-do list. Little desire to do it all.,0,negative
8466,"sociology is done, english and biology left... i`m going to DIE",0,negative
5761,Forcing to open Microsoft account even when we are providing mobile number or another email account I don't understand if it is very good app and useful then I will open account,0,negative
8737,learn to fly higher...!  http://tinyurl.com/30tools,2,positive
4120, I was going to hidden-file it and you`re thinking about youtube? SO NOTT! Lol. Hey put the phone down and more swimming,1,neutral
23367, hahahaha. Nahh sowwieee.  I had to git a shirt to match dez sneakerz nd idk if they da same color. Aghhh =O lol,1,neutral
8696,I love this for lists. Currently I am using it to keep track if my school work while over this school break!,2,positive
10448,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become.",0,negative
12348,"Glorious day in Glasgow for a change, and I`m working  Too much to do to even contemplate knocking off early...",1,neutral
12484, 7pm? So early. Dat`s 4pm my time.,1,neutral
6615,useful for organizing the activities of the day but don't have setting on sound to notify the time of activity,0,negative
9672,"I loved this app when I tried the free version, the side tabs and all. It felt like a planner. Then I open it up and it must've updated because the looks changed, no side tabs. So I paid for the pro version to get more out of it. Nothing has changes, I go to landscape view and it won't scroll. It's glitch to. I have paid the $4.99 and it keeps telling me to upgrade. I've already paid!!! I emailed you guys and still haven't heard any support a week later. So my advice to you all, keep your $5.",0,negative
1838,"The program is very good on my old phone(galaxy note 4), but notifications don't work on the new one(redmi note 8 pro). I hope you will fix them. Thanks",0,negative
379,_30439 I really wish I could go!,2,positive
14783,Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live,1,neutral
5252,"Every time I pay off my library fine, I get a new one.  I`m a bad patron",0,negative
860,Excellent product!! I think this is the third time I am editing my review for this app. That's mainly because the app popped up the review request while I was planning my tasks. I should feel like I was interrupted right? No I wasn't. This app is helping me for several years I even forgot when I started using it. And I just can't stress enough how much I like it. Fantastic work guys!,2,positive
7332,"It is a good idea, but it's not really easy to use.. in fact it's quite complicated :/ I bought premium because they advertised I could set schedules per day, and I can, but not how I had hoped. I recommend to make it simpler by allowing the user to toggle days per schedule in the routine editor, and additionally make any small changes in each individual day.",0,negative
9725,"I downloaded this app on my tablet long time ago (full version) and recently also downloaded it on my phone as I don't bring my tablet with me all the time. I only use the ""task"" function, because  my  calendar events do not sync properly (I haven't fpnd the sync button on my phone...) and another not so funny thing for me: I am using the same account for both devices, BUT I can't use the full version on my phone (I get a message that I need to buy it (???)...) that's why I need to use my tablet (with the full version on it) if I want to add something.",1,neutral
8217,complicated,0,negative
1328, that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,1,neutral
2091,the app and widɡet are very ɡood. Will change to 5 start when I can be able to add task using google assistant.,1,neutral
25951, wish u was in the D!,2,positive
2433,random night of fun  now im chillin at home.. happy mothers day!,2,positive
25839,Have a headache  I`m going to bed. Goodnight!,0,negative
5282,u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.,1,neutral
908," thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",1,neutral
1676, It wasn`t loading.,1,neutral
7473,Chilling out....now the boys have gone  Time To Relax,2,positive
16837,haha so bored...but happy mothers day!,1,neutral
14486,I only have 2 more seasons of X-Files to watch,1,neutral
5689, oh my... now im offended.  ha,0,negative
10273,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,0,negative
8578,"Love it. Exactly what I was looking for. Nice looking, very functional, and it can go on my homescreen with check boxes. 10/10",2,positive
21,Can't use it without registering with your email address. Immediate uninstall.,0,negative
10968," need to get an intel based mac 1st   but this impacts on dual core vs quad choice, latter probably better for virtualization",2,positive
24379,http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods,1,neutral
4064, what?? can`t believe it,0,negative
15030,"Woke up at 5am. Cleaned camera gear from last nights wedding. Should really go back to sleep, but kids awake.",1,neutral
16413,Can`t paint anymore because of the light,1,neutral
1515,I run multiple businesses and so far this has helped me organize my days tremendously. A lot of initial decisions had to be made about where I want things and that took a while but now I'm really glad I took the time to do it because it's all coming together and actually relieving some stress. Hopefully I can come back and add the 5th star after I've had more time using it!,2,positive
10473,Math review. Im going to fail the exam.,0,negative
1770,omgoodness FINALLY back from dinner with the fam bam!,2,positive
1748,Want upgraded version even to set the duration . Pathetic app.,0,negative
2626,nice weather..looks like its going to rain here in # Delhi.,2,positive
3910, Where DO you get all those wonderful toys?,2,positive
9550," and if you want to leaveeeee I can guranteee, you won`t find nobody, else like meeee",0,negative
14784,My last full day of even day classes. I`m a little sad,0,negative
2118,They`re gone.,0,negative
5345,http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,1,neutral
25944,_crisis deathmatch? I don`t have that game. Plus.... I`m not really good at any games  lol,0,negative
21761,wants to wish all the moms a Happy Mother`s Day.  Hope you`re all treated like Queens!,2,positive
3690,"App friezes when changing plant offline,fix needed",1,neutral
20916,I can`t upload a picture. Everything`s too big,0,negative
2240,"Great, premium allows for more alarms and reminders . But I don't have premium so that sucks.",2,positive
13160,Tryin to figure out how to direct message and is gettin frustrated,0,negative
432,"I paid for the Premium version and had expected it to work. Unfortunately, I've been missing quite a few reminders because somehow they stopped working. The notifications didn't show at all. If this problem persists, I want to cancel my monthly subscription.",1,neutral
6395,This is great!  I just found out that it`s Star Wars Day.       'May the 4th' be with you!  Have you hugged your Ewok today?,2,positive
20794,thanks to  for becoming a follower,2,positive
13983, gut,1,neutral
13810," wow, I see a Mr.B obsession in you!!",2,positive
2124,pomo timer is still glitchy.,1,neutral
6182,Love this app Can guys add this features please 1. Task priority tag (red for important) 2. More notifications options ( sometimes a single clicking sound is not enough wish you add alarm settings) Thanks,2,positive
19497, http://twitpic.com/4wl7x - Very pretty Janette  I have that exact same Hey Monday band!  And its on the same arm :O,2,positive
9876,Well hopefully I`ll see you both   at the conference,2,positive
9525,"What a dreary, rainy, crappy day.",0,negative
9072, - all is fine  thanks! you guys dont have any quakes there?,2,positive
7900,"'Bad words are a crutch, they lead to tattoos and peircings!'  Hahahaha!",1,neutral
7341,found six great vegan places to eat and relax at; four of which I can`t get to without a car,1,neutral
1082,gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,0,negative
1983,Cut my thumb with the saw in small metals   again...,0,negative
6961,"Do you have plans to support Office 365 and outlook calendars directly.   Currently, I am syncing my calendars to Google but it's not a pleasant experience as the sync keeps failing on one or other calendar.    Due to this reason, I am stopping sectograph and moving to outlook widget :-(  For those who are on google calendar, it's an excellent app and the developer support is awesome.   I'm rating 4 only for the dependency on google calendar.",2,positive
8562,"Love it! Lets you make multiple lists and lets you move items up and down to prioritize. Most useful out of several ""to-do list"" apps I've tried.",2,positive
6494,"Great Concept but executed poorly. I added 2 events between 6.30am and 9.30 but when I tried adding one for 10.30am it would let me, saying it overlapped with another event which it did not. I even checked my calendar and nothing was there for that time. It's now 11.42am, I tried adding an event for 3.30pm and it said its saved but hasn't showed on the clock or anything so it's pretty useless at this point.",0,negative
8211,"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",0,negative
2492, i lurveeeeee you,2,positive
19854," bloody Feds, they lost last statement and r hounding me for another one. I dodged them one last week",0,negative
14558,i woke him up in the end. Got bored.,0,negative
2705,it keeps bugging out whenever i try to do anything. it wont stop doing ghe tutorial and wont ket me delete tast and stuff.,0,negative
9049, I give it 2 snaps down  how`s work going?,1,neutral
2957,"I couldn't change the language of this software, I tried it again and again, but the language didn't change.",2,positive
10353,"I`m a bit late, but the new twitterific interface for the iPhone is very cool, oh and Richie and Lauren on their engagement",2,positive
2414,Just realized you can get arrested for public disturbance. oh well i`ll take my chances.,1,neutral
1871,...Nomore adventure time,0,negative
26033,gonna get a tan. i am so white,0,negative
10261,no watching The Night At The Museum. Getting Really Good,2,positive
9535,I don`t feel so good after eating all that food  ugh.,0,negative
4131,Very nice app,2,positive
5275,Long night ahead.,0,negative
18191,just had steamed fish w/ oyster sauce,1,neutral
10959, apparently were not as good as the Brazillians tho`,0,negative
7144,has plopped TWICE! TWICE!  http://plurk.com/p/svs0y,0,negative
17306, Thanx sis I`ll b sure to let them know how many people r praying w/them...,2,positive
11897,This porridge tastes ****! I cba with today man.,0,negative
24010,it was t4 i think hannah  ****,1,neutral
14920," Hi Mel, if you feel unhappy just take a bit of fries but don`t overdo.  If can help it don`t",0,negative
17210,"Nine o`clock on a Sunday morning - Outside, sat around the table enjoying the early rays of sun, reading Twitter article in Sunday Times",2,positive
20386,Happy mother`s day everyone! still playing pet society!,2,positive
15590, And I fell asleep 10 minutes into the Saget roast.,1,neutral
14981,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",2,positive
10184,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,0,negative
9915,Great app. I would rate it a 5 but there's an error where my completed tasks becomes unchecked constantly causing it to keep on becoming an unfinished task and it's annoying.,2,positive
13610, follow her shes lonelyyyy,1,neutral
19793,in class sick and hungry,0,negative
